noun,verb,metric,mean
human (complaint),X ga sitataru (X drips),novelty,2.6000000000000000
yorokobi (delight),X ga uzumaku (X whirls),metaphoricity,2.1000000000000000
abura (oil),X de susugu (Y rinses Z with X),comprehensibility,1.7000000000000000
kinsen (money),X ni uku (Y floats on X),comprehensibility,0.60000000000000000000
koe (voice),X ga sitataru (X drips),comprehensibility,1.5000000000000000
zetubou (despair),X ga waku (X gushes out),comprehensibility,1.4000000000000000
kuuki (air),X wo siboridasu (Y squeezes X),metaphoricity,2.2000000000000000
tanosisa (enjoyment),X wo makitirasu (Y sprinkles X),novelty,2.8000000000000000
kotoba (word),X wo nomu (Y drinks X),comprehensibility,3.7000000000000000
neko (cat),X ga nigoru (X gets cloudy),novelty,3.9000000000000000
nioi (smell),X wo tarasu (Y drops X),novelty,3.1000000000000000
suna (sand),X ga nizimu (X oozes),comprehensibility,1.00000000000000000000
jouhou (information),X ga mitiru (X fills Y),metaphoricity,2.0000000000000000
sitto (envy),X ga sumu (X gets clear),novelty,3.6000000000000000
sitto (envy),X ni tukaru (Y gets submerged in X),metaphoricity,1.9000000000000000
hikari (light),X ga koboreru (X spills out),novelty,0.50000000000000000000
rikai (understanding),X ni oboreru (Y almost drowns in X),novelty,3.1000000000000000
roudou (labor),X ga sitataru (X drips),comprehensibility,0.10000000000000000000
iwa (rock),X ga uzumaku (X whirls),comprehensibility,0.90000000000000000000
ari (ant),X ni oboreru (Y almost drowns in X),metaphoricity,1.6000000000000000
suna (sand),X ni oboreru (Y almost drowns in X),novelty,2.5000000000000000
rikai (understanding),X ga nizimu (X oozes),comprehensibility,1.1000000000000000
zouo (hatred),X ga waku (X gushes out),metaphoricity,2.1000000000000000
kinsen (money),X wo maku (Y scatters X),metaphoricity,0.80000000000000000000
neko (cat),X ni hitasu (Y dips Z in X),comprehensibility,0.40000000000000000000
ansin (relief),X ga sumu (X gets clear),novelty,2.9000000000000000
ansin (relief),X ni tukaru (Y gets submerged in X),metaphoricity,2.3000000000000000
zetubou (despair),X ga ahureru (X overflows),novelty,1.3000000000000000
doro (mud),X wo nomu (Y drinks X),novelty,1.7000000000000000
keeki (cake),X ga moreru (X leaks),comprehensibility,1.00000000000000000000
iwa (rock),X wo abiseru (Y showers X),comprehensibility,1.4000000000000000
kanjou (emotion),X wo makitirasu (Y sprinkles X),novelty,1.5000000000000000
hikari (light),X ga moreru (X leaks),comprehensibility,3.7000000000000000
sitto (envy),X wo susuru (Y sips X),novelty,3.8000000000000000
jouhou (information),X ga hotobasiru (X spurts),comprehensibility,2.5000000000000000
jounetu (passion),X ga uzumaku (X whirls),comprehensibility,2.7000000000000000
kanasimi (sorrow),X ga uzumaku (X whirls),metaphoricity,2.2000000000000000
jouhou (information),X ga simiru (X soaks into Y),metaphoricity,2.8000000000000000
syutisin (shame),X wo makitirasu (Y sprinkles X),comprehensibility,1.2000000000000000
kotoba (word),X wo sosogu (Y pours X),comprehensibility,2.4000000000000000
kimoti (feeling),X wo abiseru (Y showers X),novelty,2.9000000000000000
yorokobi (delight),X wo abiseru (Y showers X),metaphoricity,2.5000000000000000
suimin (sleep),X wo maku (Y scatters X),metaphoricity,1.5000000000000000
nioi (smell),X wo kumitoru (Y scoops up X),metaphoricity,1.6000000000000000
kairaku (pleasure),X wo makitirasu (Y sprinkles X),comprehensibility,1.7000000000000000
doro (mud),X ga nagareru (X flows),metaphoricity,0.70000000000000000000
ito (intention),X wo maku (Y scatters X),comprehensibility,1.1000000000000000
suimin (sleep),X ga hotobasiru (X spurts),comprehensibility,0.30000000000000000000
kibou (hope),X ga nigoru (X gets cloudy),comprehensibility,0.80000000000000000000
ito (intention),X ga hotobasiru (X spurts),metaphoricity,2.4000000000000000
kanasimi (sorrow),X ga tamaru (X gets collected),metaphoricity,2.1000000000000000
kairaku (pleasure),X ga sumu (X gets clear),comprehensibility,0.70000000000000000000
jouhou (information),X wo maku (Y scatters X),metaphoricity,2.2000000000000000
zouo (hatred),X wo kakeru (Y sprays X),metaphoricity,2.2000000000000000
jounetu (passion),X ga tamaru (X gets collected),comprehensibility,1.6000000000000000
human (complaint),X ni oboreru (Y almost drowns in X),novelty,3.5000000000000000
